time,spot_price_nsw,spot_price_sa,spot_price_tas,spot_price_vic,inter_gen_nsw,inter_gen_sa,inter_gen_tas,inter_gen_vic,demand_nsw,demand_sa,demand_tas,demand_vic,period
2021-01-01 00:00:00,43.29,42.5,46.38,43.48,34.43,249.3,105.96,207.49,7124,1479,1064,4555,1
2021-01-01 00:30:00,38.04,35.72,57.3,37.21,46.81,237.61,118.83,208.82,6944,1456,1047,4396,2
2021-01-01 01:00:00,38.1,34.56,64.75,36.37,47.24,223.38,121.41,192.02,6693,1404,1038,4252,3
2021-01-01 01:30:00,32.26,24.71,65.12,25.02,68.91,214.05,105.22,172.57,6397,1322,1033,4137,4
2021-01-01 02:00:00,32.45,14.23,66.63,14.6,57.78,202.9,100.05,167.15,6134,1273,1027,3976,5
2021-01-01 02:30:00,27.76,8.49,66.79,8.95,47.74,199.6,92.79,174.75,5929,1246,1022,3850,6
2021-01-01 03:00:00,26.83,8.18,65.44,8.69,65.4,176.73,83.24,170.44,5819,1225,1021,3796,7
2021-01-01 03:30:00,25.64,8.44,75.11,8.95,58.38,155.93,69.62,147.53,5730,1196,1016,3732,8
2021-01-01 04:00:00,26.31,8.55,69.73,8.97,55.38,156.23,73.09,141.76,5691,1175,1018,3720,9
2021-01-01 04:30:00,29.42,8.67,59.73,8.95,64.23,150.68,85.1,137.42,5736,1167,1028,3738,10
2021-01-01 05:00:00,31.15,8.94,61.14,8.95,59.83,145.61,88.59,138.02,5753,1167,1027,3743,11
2021-01-01 05:30:00,29.75,8.93,50.1,8.95,68.47,134.26,99.71,150.53,5787,1158,1032,3736,12
2021-01-01 06:00:00,25.53,10.21,52.48,10.19,79.15,122.26,107.19,155.48,5802,1124,1037,3747,13
2021-01-01 06:30:00,19.57,8.8,56.87,8.75,72.36,101.42,107.96,154.05,5824,1096,1037,3757,14
2021-01-01 07:00:00,6.91,5.02,50.09,4.97,67.02,84.65,119.29,140.06,5862,1045,1043,3728,15
2021-01-01 07:30:00,20.82,8.49,34.36,8.25,55.37,60.75,142.97,160.91,5965,974,1060,3625,16
2021-01-01 08:00:00,12.79,0.0,34.36,0.0,45.81,46.9,145.31,173.15,6098,922,1082,3588,17
2021-01-01 08:30:00,20.69,0.0,34.36,0.0,45.66,35.65,145.36,166.73,6213,821,1093,3557,18
2021-01-01 09:00:00,26.99,10.75,34.36,10.59,54.51,20.38,147.09,148.27,6297,766,1096,3558,19
2021-01-01 09:30:00,31.89,5.75,34.34,5.53,64.21,16.59,144.13,158.43,6385,721,1099,3581,20
2021-01-01 10:00:00,30.53,12.19,34.34,11.84,81.56,22.08,143.31,169.88,6412,665,1109,3551,21
2021-01-01 10:30:00,27.17,1.57,34.34,1.4,83.41,26.61,143.91,158.37,6431,594,1110,3533,22
2021-01-01 11:00:00,27.81,0.0,34.34,0.0,95.01,25.22,143.07,158.81,6506,603,1110,3477,23
2021-01-01 11:30:00,27.66,-6.95,34.34,-7.21,92.99,36.88,143.42,132.39,6531,563,1080,3467,24
2021-01-01 12:00:00,31.01,-7.54,34.34,-8.26,81.3,60.85,142.34,151.23,6576,554,1067,3504,25
2021-01-01 12:30:00,33.34,5.97,32.89,6.0,82.6,64.24,142.57,166.89,6581,573,1052,3575,26
2021-01-01 13:00:00,32.54,3.78,39.6,3.83,85.89,71.51,142.93,185.36,6548,603,1075,3659,27
2021-01-01 13:30:00,30.23,12.41,35.24,12.32,78.86,75.68,147.07,179.59,6546,659,1072,3830,28
2021-01-01 14:00:00,32.5,25.12,35.51,24.91,80.27,78.84,150.6,173.4,6487,767,1064,4007,29
2021-01-01 14:30:00,31.1,28.86,40.16,27.39,73.62,71.28,149.93,186.93,6521,906,1062,4043,30
2021-01-01 15:00:00,32.5,28.8,34.36,28.34,72.06,75.75,151.13,186.83,6549,799,1011,4238,31
2021-01-01 15:30:00,32.79,28.93,33.46,28.73,75.04,78.21,153.29,181.58,6637,865,1000,4397,32
2021-01-01 16:00:00,37.3,32.0,32.61,30.71,61.09,97.09,157.12,178.99,6778,1029,1007,4536,33
2021-01-01 16:30:00,36.04,26.06,27.16,25.21,56.57,95.46,158.13,194.22,6937,1180,1037,4744,34
2021-01-01 17:00:00,39.73,31.36,32.1,30.68,63.75,86.31,158.4,212.79,7153,1320,1066,5045,35
2021-01-01 17:30:00,34.97,30.5,32.11,30.46,52.8,102.86,159.85,208.79,7235,1308,1082,5211,36
2021-01-01 18:00:00,36.67,31.52,33.12,31.69,56.32,102.46,157.76,184.52,7288,1414,1094,5179,37
2021-01-01 18:30:00,38.33,32.32,33.28,32.26,60.76,100.56,155.22,160.44,7261,1526,1095,5114,38
2021-01-01 19:00:00,38.46,33.04,34.09,33.79,67.49,98.83,152.8,186.26,7256,1571,1095,5030,39
2021-01-01 19:30:00,38.79,29.93,31.29,30.66,47.43,105.52,150.84,137.84,7272,1568,1097,4968,40
2021-01-01 20:00:00,39.04,31.68,31.75,31.61,37.57,122.51,154.36,109.5,7243,1559,1098,4914,41
2021-01-01 20:30:00,38.32,29.47,29.7,28.96,28.72,128.16,155.08,101.97,7144,1558,1106,4898,42
2021-01-01 21:00:00,36.13,29.91,30.76,30.05,42.2,134.97,158.06,77.57,7043,1548,1094,4788,43
2021-01-01 21:30:00,37.29,32.85,34.78,34.14,38.54,127.26,158.73,68.65,7047,1528,1075,4671,44
2021-01-01 22:00:00,35.9,31.67,34.59,33.86,39.14,147.72,156.72,63.87,7028,1490,1054,4534,45
2021-01-01 22:30:00,37.02,31.67,34.74,34.16,54.43,137.97,155.33,96.49,7043,1437,1034,4437,46
2021-01-01 23:00:00,35.92,31.54,34.49,33.74,50.51,129.64,155.19,123.36,6977,1395,1013,4371,47
2021-01-01 23:30:00,36.81,32.48,35.38,34.77,45.32,128.67,153.71,105.4,6870,1368,999,4529,48
2021-01-02 00:00:00,37.12,35.06,36.08,35.8,42.2,111.67,153.12,82.32,6747,1503,985,4497,1
2021-01-02 00:30:00,36.04,33.87,34.04,34.36,37.37,101.51,154.18,77.68,6580,1477,979,4317,2
2021-01-02 01:00:00,35.29,32.27,33.74,33.0,29.14,102.3,153.72,110.85,6393,1426,969,4173,3
2021-01-02 01:30:00,29.7,26.53,28.01,27.09,28.4,90.72,153.49,143.53,6112,1342,962,4083,4
2021-01-02 02:00:00,24.62,15.39,15.79,15.2,25.51,73.18,147.41,141.25,5887,1284,964,3949,5
2021-01-02 02:30:00,26.28,22.5,32.49,22.06,30.01,60.75,146.88,136.47,5738,1238,963,3890,6
2021-01-02 03:00:00,25.4,24.33,34.34,23.23,27.05,57.64,147.17,140.32,5627,1226,960,3839,7
2021-01-02 03:30:00,24.92,25.04,34.34,23.12,20.67,46.91,147.46,136.7,5593,1197,956,3818,8
2021-01-02 04:00:00,28.55,31.15,34.34,27.51,18.9,39.96,146.06,129.19,5609,1179,965,3800,9
2021-01-02 04:30:00,30.77,33.79,37.59,29.35,24.55,42.47,145.99,142.67,5651,1178,969,3777,10
2021-01-02 05:00:00,31.14,32.87,37.04,28.99,26.69,58.41,144.87,175.38,5709,1180,970,3791,11
2021-01-02 05:30:00,35.61,40.93,37.48,33.92,19.19,67.75,148.02,182.73,5790,1189,976,3821,12
2021-01-02 06:00:00,27.3,35.11,37.78,26.25,10.7,71.77,151.67,185.52,5843,1201,986,3828,13
2021-01-02 06:30:00,26.74,34.04,36.49,25.95,14.08,81.55,152.57,190.17,5975,1190,997,3864,14
2021-01-02 07:00:00,28.03,34.13,30.76,27.45,19.24,71.56,152.94,182.9,6142,1195,994,3898,15
2021-01-02 07:30:00,31.14,32.87,34.21,29.03,31.51,81.97,148.76,176.61,6299,1156,1016,3852,16
2021-01-02 08:00:00,32.67,32.07,35.29,29.53,43.89,77.73,148.36,164.18,6444,1076,1030,3844,17
2021-01-02 08:30:00,33.75,26.02,31.74,25.56,42.19,83.27,148.73,141.72,6634,962,1040,3898,18
2021-01-02 09:00:00,35.03,16.47,37.31,16.28,41.08,78.26,152.68,119.26,6679,880,1050,3852,19
2021-01-02 09:30:00,34.53,22.94,37.78,23.9,35.9,83.22,150.48,81.83,6669,823,1051,3890,20
2021-01-02 10:00:00,32.23,21.63,37.78,22.95,41.87,81.27,150.19,64.43,6618,723,1049,3887,21
2021-01-02 10:30:00,32.46,10.63,37.78,11.27,43.5,66.56,150.67,109.8,6635,702,1046,3948,22
2021-01-02 11:00:00,25.21,11.86,37.78,12.67,37.25,51.78,150.2,124.49,6532,664,1036,4096,23
2021-01-02 11:30:00,23.87,17.82,37.8,19.56,31.26,29.34,150.72,80.32,6519,633,1032,4217,24
2021-01-02 12:00:00,25.85,16.94,37.8,16.82,34.48,29.35,149.77,98.43,6550,581,1029,4199,25
2021-01-02 12:30:00,20.94,11.94,37.8,12.36,45.52,40.05,149.97,111.48,6536,558,1032,4158,26
2021-01-02 13:00:00,13.56,6.99,37.8,8.17,53.54,45.54,150.77,80.75,6567,563,1028,4094,27
2021-01-02 13:30:00,20.98,-23.54,37.8,10.92,83.23,58.71,151.08,121.69,6546,574,1027,4132,28
2021-01-02 14:00:00,24.17,-59.92,37.8,2.71,78.46,60.86,148.87,133.31,6655,597,1015,4315,29
2021-01-02 14:30:00,29.59,-75.41,37.8,11.25,69.33,56.12,135.25,173.52,6755,630,1024,4506,30
2021-01-02 15:00:00,33.85,-86.73,37.8,13.52,62.2,56.12,127.11,144.89,6822,674,1027,4662,31
2021-01-02 15:30:00,32.31,-85.13,37.8,12.49,63.47,48.41,119.08,146.42,6896,731,1032,4755,32
2021-01-02 16:00:00,33.24,-88.38,37.79,10.2,49.86,57.66,103.8,164.01,7059,806,1046,4830,33
2021-01-02 16:30:00,32.02,-80.1,37.8,11.56,36.81,65.12,78.43,143.21,7195,886,1078,4943,34
2021-01-02 17:00:00,37.29,-3.69,38.06,21.83,35.62,81.76,67.73,98.08,7393,992,1100,5043,35
2021-01-02 17:30:00,37.32,-36.08,40.88,20.82,36.67,121.93,67.25,102.28,7519,1110,1120,5022,36
2021-01-02 18:00:00,38.46,22.2,47.68,23.51,42.39,125.15,53.54,125.42,7631,1207,1125,4966,37
2021-01-02 18:30:00,38.59,17.49,46.33,18.51,36.23,138.14,45.55,102.78,7611,1294,1102,4931,38
2021-01-02 19:00:00,38.17,25.88,40.09,25.65,45.96,142.93,41.43,250.3,7569,1347,1097,4881,39
