time,spot_price,inter_gen,demand,period
2018-01-01 00:00:00,88.0,0.18,7100,1
2018-01-01 00:30:00,91.86,0.15,6974,2
2018-01-01 01:00:00,88.83,0.13,6790,3
2018-01-01 01:30:00,73.62,0.14,6536,4
2018-01-01 02:00:00,71.49,0.16,6339,5
2018-01-01 02:30:00,69.27,0.16,6195,6
2018-01-01 03:00:00,68.44,0.17,6067,7
2018-01-01 03:30:00,69.67,0.18,6029,8
2018-01-01 04:00:00,67.58,0.43,5985,9
2018-01-01 04:30:00,67.09,0.8,6005,10
2018-01-01 05:00:00,67.53,0.97,6012,11
2018-01-01 05:30:00,65.8,1.47,6037,12
2018-01-01 06:00:00,61.53,2.21,6118,13
2018-01-01 06:30:00,66.62,3.31,6246,14
2018-01-01 07:00:00,68.42,7.21,6390,15
2018-01-01 07:30:00,69.02,11.86,6600,16
2018-01-01 08:00:00,69.0,15.81,6776,17
2018-01-01 08:30:00,68.88,19.54,6935,18
2018-01-01 09:00:00,69.22,22.68,7119,19
2018-01-01 09:30:00,74.04,25.83,7350,20
2018-01-01 10:00:00,75.15,28.52,7555,21
2018-01-01 10:30:00,75.2,30.48,7701,22
2018-01-01 11:00:00,80.66,31.54,7790,23
2018-01-01 11:30:00,77.93,31.95,7841,24
2018-01-01 12:00:00,71.48,32.46,7832,25
2018-01-01 12:30:00,70.47,33.09,7858,26
2018-01-01 13:00:00,76.55,34.08,7922,27
2018-01-01 13:30:00,83.84,31.59,7977,28
2018-01-01 14:00:00,85.14,30.75,8052,29
2018-01-01 14:30:00,84.88,23.69,8120,30
2018-01-01 15:00:00,82.54,23.51,8246,31
2018-01-01 15:30:00,87.06,21.8,8387,32
2018-01-01 16:00:00,95.05,18.57,8540,33
2018-01-01 16:30:00,90.84,46.22,8690,34
2018-01-01 17:00:00,91.46,93.53,8861,35
2018-01-01 17:30:00,81.83,101.27,8827,36
2018-01-01 18:00:00,79.93,89.89,8785,37
2018-01-01 18:30:00,72.77,83.99,8624,38
2018-01-01 19:00:00,74.45,109.1,8440,39
2018-01-01 19:30:00,71.73,106.76,8333,40
2018-01-01 20:00:00,76.95,91.27,8301,41
2018-01-01 20:30:00,78.91,84.96,8228,42
2018-01-01 21:00:00,69.42,73.47,8043,43
2018-01-01 21:30:00,71.31,64.34,7911,44
2018-01-01 22:00:00,66.1,60.76,7718,45
2018-01-01 22:30:00,65.72,51.42,7620,46
2018-01-01 23:00:00,62.37,42.73,7431,47
2018-01-01 23:30:00,62.84,37.74,7226,48
2018-01-02 00:00:00,58.48,47.4,7066,1
2018-01-02 00:30:00,56.73,49.68,6887,2
2018-01-02 01:00:00,56.88,48.72,6666,3
2018-01-02 01:30:00,53.73,43.38,6387,4
