time,spot_price,inter_gen,demand,period
2021-01-01 00:00:00,43.29,34.43,7124,1
2021-01-01 00:30:00,38.04,46.81,6944,2
2021-01-01 01:00:00,38.1,47.24,6693,3
2021-01-01 01:30:00,32.26,68.91,6397,4
2021-01-01 02:00:00,32.45,57.78,6134,5
2021-01-01 02:30:00,27.76,47.74,5929,6
2021-01-01 03:00:00,26.83,65.4,5819,7
2021-01-01 03:30:00,25.64,58.38,5730,8
2021-01-01 04:00:00,26.31,55.38,5691,9
2021-01-01 04:30:00,29.42,64.23,5736,10
2021-01-01 05:00:00,31.15,59.83,5753,11
2021-01-01 05:30:00,29.75,68.47,5787,12
2021-01-01 06:00:00,25.53,79.15,5802,13
2021-01-01 06:30:00,19.57,72.36,5824,14
2021-01-01 07:00:00,6.91,67.02,5862,15
2021-01-01 07:30:00,20.82,55.37,5965,16
2021-01-01 08:00:00,12.79,45.81,6098,17
2021-01-01 08:30:00,20.69,45.66,6213,18
2021-01-01 09:00:00,26.99,54.51,6297,19
2021-01-01 09:30:00,31.89,64.21,6385,20
2021-01-01 10:00:00,30.53,81.56,6412,21
2021-01-01 10:30:00,27.17,83.41,6431,22
2021-01-01 11:00:00,27.81,95.01,6506,23
2021-01-01 11:30:00,27.66,92.99,6531,24
2021-01-01 12:00:00,31.01,81.3,6576,25
2021-01-01 12:30:00,33.34,82.6,6581,26
2021-01-01 13:00:00,32.54,85.89,6548,27
2021-01-01 13:30:00,30.23,78.86,6546,28
2021-01-01 14:00:00,32.5,80.27,6487,29
2021-01-01 14:30:00,31.1,73.62,6521,30
2021-01-01 15:00:00,32.5,72.06,6549,31
2021-01-01 15:30:00,32.79,75.04,6637,32
2021-01-01 16:00:00,37.3,61.09,6778,33
2021-01-01 16:30:00,36.04,56.57,6937,34
2021-01-01 17:00:00,39.73,63.75,7153,35
2021-01-01 17:30:00,34.97,52.8,7235,36
2021-01-01 18:00:00,36.67,56.32,7288,37
2021-01-01 18:30:00,38.33,60.76,7261,38
2021-01-01 19:00:00,38.46,67.49,7256,39
2021-01-01 19:30:00,38.79,47.43,7272,40
2021-01-01 20:00:00,39.04,37.57,7243,41
2021-01-01 20:30:00,38.32,28.72,7144,42
2021-01-01 21:00:00,36.13,42.2,7043,43
2021-01-01 21:30:00,37.29,38.54,7047,44
2021-01-01 22:00:00,35.9,39.14,7028,45
2021-01-01 22:30:00,37.02,54.43,7043,46
2021-01-01 23:00:00,35.92,50.51,6977,47
2021-01-01 23:30:00,36.81,45.32,6870,48
2021-01-02 00:00:00,37.12,42.2,6747,1
2021-01-02 00:30:00,36.04,37.37,6580,2
2021-01-02 01:00:00,35.29,29.14,6393,3
2021-01-02 01:30:00,29.7,28.4,6112,4
2021-01-02 02:00:00,24.62,25.51,5887,5
2021-01-02 02:30:00,26.28,30.01,5738,6
2021-01-02 03:00:00,25.4,27.05,5627,7
2021-01-02 03:30:00,24.92,20.67,5593,8
2021-01-02 04:00:00,28.55,18.9,5609,9
2021-01-02 04:30:00,30.77,24.55,5651,10
2021-01-02 05:00:00,31.14,26.69,5709,11
2021-01-02 05:30:00,35.61,19.19,5790,12
2021-01-02 06:00:00,27.3,10.7,5843,13
2021-01-02 06:30:00,26.74,14.08,5975,14
2021-01-02 07:00:00,28.03,19.24,6142,15
2021-01-02 07:30:00,31.14,31.51,6299,16
2021-01-02 08:00:00,32.67,43.89,6444,17
2021-01-02 08:30:00,33.75,42.19,6634,18
2021-01-02 09:00:00,35.03,41.08,6679,19
2021-01-02 09:30:00,34.53,35.9,6669,20
2021-01-02 10:00:00,32.23,41.87,6618,21
2021-01-02 10:30:00,32.46,43.5,6635,22
2021-01-02 11:00:00,25.21,37.25,6532,23
2021-01-02 11:30:00,23.87,31.26,6519,24
2021-01-02 12:00:00,25.85,34.48,6550,25
2021-01-02 12:30:00,20.94,45.52,6536,26
2021-01-02 13:00:00,13.56,53.54,6567,27
2021-01-02 13:30:00,20.98,83.23,6546,28
2021-01-02 14:00:00,24.17,78.46,6655,29
2021-01-02 14:30:00,29.59,69.33,6755,30
2021-01-02 15:00:00,33.85,62.2,6822,31
2021-01-02 15:30:00,32.31,63.47,6896,32
2021-01-02 16:00:00,33.24,49.86,7059,33
2021-01-02 16:30:00,32.02,36.81,7195,34
2021-01-02 17:00:00,37.29,35.62,7393,35
2021-01-02 17:30:00,37.32,36.67,7519,36
2021-01-02 18:00:00,38.46,42.39,7631,37
2021-01-02 18:30:00,38.59,36.23,7611,38
2021-01-02 19:00:00,38.17,45.96,7569,39
2021-01-02 19:30:00,38.28,51.08,7527,40
2021-01-02 20:00:00,31.82,48.9,7440,41
2021-01-02 20:30:00,35.94,38.71,7340,42
2021-01-02 21:00:00,33.17,41.04,7236,43
2021-01-02 21:30:00,32.85,47.14,7178,44
2021-01-02 22:00:00,28.21,48.7,7130,45
2021-01-02 22:30:00,34.45,35.66,7085,46
2021-01-02 23:00:00,35.4,25.29,6951,47
2021-01-02 23:30:00,36.42,20.9,6781,48
2021-01-03 00:00:00,36.97,28.38,6673,1
2021-01-03 00:30:00,37.36,37.33,6517,2
2021-01-03 01:00:00,37.23,38.3,6332,3
2021-01-03 01:30:00,33.85,33.5,6108,4
2021-01-03 02:00:00,31.7,35.96,5918,5
2021-01-03 02:30:00,31.96,25.05,5812,6
2021-01-03 03:00:00,30.83,18.85,5739,7
2021-01-03 03:30:00,24.95,14.52,5725,8
2021-01-03 04:00:00,29.55,6.92,5734,9
2021-01-03 04:30:00,35.85,2.33,5779,10
2021-01-03 05:00:00,35.98,1.4,5813,11
2021-01-03 05:30:00,35.63,0.71,5870,12
2021-01-03 06:00:00,33.71,4.84,5916,13
2021-01-03 06:30:00,27.77,14.17,5982,14
2021-01-03 07:00:00,32.83,24.35,6135,15
2021-01-03 07:30:00,31.12,30.48,6319,16
2021-01-03 08:00:00,33.09,32.74,6507,17
2021-01-03 08:30:00,36.98,32.96,6713,18
2021-01-03 09:00:00,36.14,28.48,6850,19
2021-01-03 09:30:00,36.82,25.75,6915,20
2021-01-03 10:00:00,32.13,29.19,6824,21
2021-01-03 10:30:00,16.52,34.27,6733,22
2021-01-03 11:00:00,17.23,35.64,6785,23
2021-01-03 11:30:00,21.4,44.17,6768,24
2021-01-03 12:00:00,14.82,66.76,6676,25
