time,spot_price,inter_gen,demand,period
2021-01-01 00:00:00,42.5,249.3,1479,1
2021-01-01 00:30:00,35.72,237.61,1456,2
2021-01-01 01:00:00,34.56,223.38,1404,3
2021-01-01 01:30:00,24.71,214.05,1322,4
2021-01-01 02:00:00,14.23,202.9,1273,5
2021-01-01 02:30:00,8.49,199.6,1246,6
2021-01-01 03:00:00,8.18,176.73,1225,7
2021-01-01 03:30:00,8.44,155.93,1196,8
2021-01-01 04:00:00,8.55,156.23,1175,9
2021-01-01 04:30:00,8.67,150.68,1167,10
2021-01-01 05:00:00,8.94,145.61,1167,11
2021-01-01 05:30:00,8.93,134.26,1158,12
2021-01-01 06:00:00,10.21,122.26,1124,13
2021-01-01 06:30:00,8.8,101.42,1096,14
2021-01-01 07:00:00,5.02,84.65,1045,15
2021-01-01 07:30:00,8.49,60.75,974,16
2021-01-01 08:00:00,0.0,46.9,922,17
2021-01-01 08:30:00,0.0,35.65,821,18
2021-01-01 09:00:00,10.75,20.38,766,19
2021-01-01 09:30:00,5.75,16.59,721,20
2021-01-01 10:00:00,12.19,22.08,665,21
2021-01-01 10:30:00,1.57,26.61,594,22
2021-01-01 11:00:00,0.0,25.22,603,23
2021-01-01 11:30:00,-6.95,36.88,563,24
2021-01-01 12:00:00,-7.54,60.85,554,25
2021-01-01 12:30:00,5.97,64.24,573,26
2021-01-01 13:00:00,3.78,71.51,603,27
2021-01-01 13:30:00,12.41,75.68,659,28
2021-01-01 14:00:00,25.12,78.84,767,29
2021-01-01 14:30:00,28.86,71.28,906,30
2021-01-01 15:00:00,28.8,75.75,799,31
2021-01-01 15:30:00,28.93,78.21,865,32
2021-01-01 16:00:00,32.0,97.09,1029,33
2021-01-01 16:30:00,26.06,95.46,1180,34
2021-01-01 17:00:00,31.36,86.31,1320,35
2021-01-01 17:30:00,30.5,102.86,1308,36
2021-01-01 18:00:00,31.52,102.46,1414,37
2021-01-01 18:30:00,32.32,100.56,1526,38
2021-01-01 19:00:00,33.04,98.83,1571,39
2021-01-01 19:30:00,29.93,105.52,1568,40
2021-01-01 20:00:00,31.68,122.51,1559,41
2021-01-01 20:30:00,29.47,128.16,1558,42
2021-01-01 21:00:00,29.91,134.97,1548,43
2021-01-01 21:30:00,32.85,127.26,1528,44
2021-01-01 22:00:00,31.67,147.72,1490,45
2021-01-01 22:30:00,31.67,137.97,1437,46
2021-01-01 23:00:00,31.54,129.64,1395,47
2021-01-01 23:30:00,32.48,128.67,1368,48
2021-01-02 00:00:00,35.06,111.67,1503,1
2021-01-02 00:30:00,33.87,101.51,1477,2
2021-01-02 01:00:00,32.27,102.3,1426,3
2021-01-02 01:30:00,26.53,90.72,1342,4
2021-01-02 02:00:00,15.39,73.18,1284,5
2021-01-02 02:30:00,22.5,60.75,1238,6
2021-01-02 03:00:00,24.33,57.64,1226,7
2021-01-02 03:30:00,25.04,46.91,1197,8
2021-01-02 04:00:00,31.15,39.96,1179,9
2021-01-02 04:30:00,33.79,42.47,1178,10
2021-01-02 05:00:00,32.87,58.41,1180,11
2021-01-02 05:30:00,40.93,67.75,1189,12
2021-01-02 06:00:00,35.11,71.77,1201,13
2021-01-02 06:30:00,34.04,81.55,1190,14
2021-01-02 07:00:00,34.13,71.56,1195,15
2021-01-02 07:30:00,32.87,81.97,1156,16
2021-01-02 08:00:00,32.07,77.73,1076,17
2021-01-02 08:30:00,26.02,83.27,962,18
2021-01-02 09:00:00,16.47,78.26,880,19
2021-01-02 09:30:00,22.94,83.22,823,20
2021-01-02 10:00:00,21.63,81.27,723,21
2021-01-02 10:30:00,10.63,66.56,702,22
2021-01-02 11:00:00,11.86,51.78,664,23
2021-01-02 11:30:00,17.82,29.34,633,24
2021-01-02 12:00:00,16.94,29.35,581,25
2021-01-02 12:30:00,11.94,40.05,558,26
2021-01-02 13:00:00,6.99,45.54,563,27
2021-01-02 13:30:00,-23.54,58.71,574,28
2021-01-02 14:00:00,-59.92,60.86,597,29
2021-01-02 14:30:00,-75.41,56.12,630,30
2021-01-02 15:00:00,-86.73,56.12,674,31
2021-01-02 15:30:00,-85.13,48.41,731,32
2021-01-02 16:00:00,-88.38,57.66,806,33
2021-01-02 16:30:00,-80.1,65.12,886,34
2021-01-02 17:00:00,-3.69,81.76,992,35
2021-01-02 17:30:00,-36.08,121.93,1110,36
2021-01-02 18:00:00,22.2,125.15,1207,37
2021-01-02 18:30:00,17.49,138.14,1294,38
2021-01-02 19:00:00,25.88,142.93,1347,39
2021-01-02 19:30:00,19.14,147.62,1406,40
2021-01-02 20:00:00,20.74,145.63,1422,41
2021-01-02 20:30:00,32.82,134.5,1401,42
2021-01-02 21:00:00,20.77,132.46,1409,43
2021-01-02 21:30:00,28.81,126.96,1367,44
2021-01-02 22:00:00,18.21,126.93,1347,45
2021-01-02 22:30:00,28.8,105.82,1314,46
2021-01-02 23:00:00,32.04,102.87,1285,47
2021-01-02 23:30:00,33.8,106.07,1270,48
2021-01-03 00:00:00,37.58,85.74,1433,1
2021-01-03 00:30:00,36.87,84.33,1413,2
2021-01-03 01:00:00,37.74,85.76,1374,3
2021-01-03 01:30:00,34.46,77.61,1282,4
2021-01-03 02:00:00,32.03,78.81,1232,5
2021-01-03 02:30:00,32.68,75.03,1203,6
2021-01-03 03:00:00,30.74,75.42,1184,7
2021-01-03 03:30:00,24.81,69.08,1169,8
2021-01-03 04:00:00,29.24,71.77,1154,9
2021-01-03 04:30:00,37.21,77.32,1153,10
2021-01-03 05:00:00,37.95,80.05,1162,11
2021-01-03 05:30:00,38.2,84.94,1160,12
2021-01-03 06:00:00,36.91,83.63,1159,13
2021-01-03 06:30:00,31.14,80.74,1138,14
2021-01-03 07:00:00,41.93,70.74,1117,15
2021-01-03 07:30:00,47.14,78.92,1073,16
2021-01-03 08:00:00,37.55,73.2,1004,17
2021-01-03 08:30:00,37.71,73.23,933,18
2021-01-03 09:00:00,36.1,60.66,873,19
2021-01-03 09:30:00,34.66,47.21,772,20
2021-01-03 10:00:00,28.28,40.17,705,21
2021-01-03 10:30:00,10.38,45.51,632,22
2021-01-03 11:00:00,4.44,39.97,544,23
2021-01-03 11:30:00,-25.77,37.35,530,24
2021-01-03 12:00:00,5.39,49.47,496,25
2021-01-03 12:30:00,2.1,75.04,521,26
2021-01-03 13:00:00,-5.03,103.44,521,27
2021-01-03 13:30:00,-25.23,124.12,533,28
2021-01-03 14:00:00,-18.0,110.21,579,29
2021-01-03 14:30:00,-31.53,126.87,577,30
2021-01-03 15:00:00,-21.73,118.89,602,31
2021-01-03 15:30:00,-16.62,149.64,764,32
2021-01-03 16:00:00,-0.55,186.13,884,33
2021-01-03 16:30:00,3.08,218.32,1018,34
2021-01-03 17:00:00,9.23,259.19,1103,35
2021-01-03 17:30:00,28.44,258.99,1159,36
2021-01-03 18:00:00,28.18,264.58,1283,37
2021-01-03 18:30:00,29.06,265.56,1348,38
2021-01-03 19:00:00,27.38,275.45,1398,39
2021-01-03 19:30:00,28.22,280.05,1413,40
2021-01-03 20:00:00,31.78,269.35,1439,41
2021-01-03 20:30:00,32.45,264.43,1446,42
2021-01-03 21:00:00,32.72,250.2,1448,43
2021-01-03 21:30:00,24.67,237.13,1407,44
2021-01-03 22:00:00,32.59,233.68,1367,45
2021-01-03 22:30:00,35.33,231.15,1331,46
2021-01-03 23:00:00,35.34,220.19,1309,47
2021-01-03 23:30:00,38.6,227.55,1303,48
2021-01-04 00:00:00,36.51,221.12,1465,1
2021-01-04 00:30:00,35.62,217.25,1458,2
2021-01-04 01:00:00,37.14,218.13,1425,3
2021-01-04 01:30:00,32.73,227.07,1351,4
2021-01-04 02:00:00,16.23,231.78,1307,5
2021-01-04 02:30:00,6.01,227.07,1290,6
2021-01-04 03:00:00,0.0,224.42,1290,7
2021-01-04 03:30:00,0.0,230.23,1264,8
2021-01-04 04:00:00,-1.03,223.08,1247,9
2021-01-04 04:30:00,1.14,218.11,1248,10
2021-01-04 05:00:00,7.8,211.76,1256,11
2021-01-04 05:30:00,14.25,217.54,1260,12
2021-01-04 06:00:00,10.74,214.12,1300,13
2021-01-04 06:30:00,8.51,221.18,1295,14
2021-01-04 07:00:00,4.67,216.99,1314,15
2021-01-04 07:30:00,-18.84,213.6,1271,16
2021-01-04 08:00:00,0.18,204.75,1196,17
2021-01-04 08:30:00,-44.32,187.72,1137,18
2021-01-04 09:00:00,-81.84,107.84,1069,19
2021-01-04 09:30:00,-9.9,77.7,1012,20
2021-01-04 10:00:00,-24.96,122.24,1010,21
2021-01-04 10:30:00,-40.27,127.71,1016,22
2021-01-04 11:00:00,-33.51,132.0,1011,23
2021-01-04 11:30:00,-19.92,143.29,1031,24
2021-01-04 12:00:00,-10.46,159.67,1036,25
2021-01-04 12:30:00,-13.92,184.54,1004,26
2021-01-04 13:00:00,-13.26,197.17,1006,27
2021-01-04 13:30:00,-20.86,194.47,1017,28
2021-01-04 14:00:00,-11.09,191.96,1034,29
2021-01-04 14:30:00,-34.01,187.88,1050,30
2021-01-04 15:00:00,-16.67,185.82,1049,31
2021-01-04 15:30:00,-29.18,184.1,1053,32
2021-01-04 16:00:00,-23.13,182.77,1085,33
