time,spot_price,inter_gen,demand,period
2018-01-01 00:00:00,103.11,60.53,1398,1
2018-01-01 00:30:00,107.17,43.07,1359,2
2018-01-01 01:00:00,103.31,41.67,1316,3
2018-01-01 01:30:00,88.2,42.15,1240,4
2018-01-01 02:00:00,85.24,38.31,1194,5
2018-01-01 02:30:00,81.75,33.39,1163,6
2018-01-01 03:00:00,80.89,30.46,1151,7
2018-01-01 03:30:00,83.41,28.04,1133,8
2018-01-01 04:00:00,80.1,38.62,1115,9
2018-01-01 04:30:00,78.41,40.71,1106,10
2018-01-01 05:00:00,80.07,35.56,1109,11
2018-01-01 05:30:00,77.77,34.73,1106,12
2018-01-01 06:00:00,73.22,31.3,1096,13
2018-01-01 06:30:00,77.44,42.19,1087,14
2018-01-01 07:00:00,79.88,39.09,1073,15
2018-01-01 07:30:00,79.46,35.83,1061,16
2018-01-01 08:00:00,79.25,47.92,1041,17
2018-01-01 08:30:00,78.9,29.87,1008,18
2018-01-01 09:00:00,78.61,23.16,970,19
2018-01-01 09:30:00,82.27,29.02,947,20
2018-01-01 10:00:00,80.18,53.29,907,21
2018-01-01 10:30:00,79.73,40.2,866,22
2018-01-01 11:00:00,83.37,29.12,833,23
2018-01-01 11:30:00,79.9,34.95,802,24
2018-01-01 12:00:00,72.0,48.32,763,25
2018-01-01 12:30:00,69.15,49.15,724,26
2018-01-01 13:00:00,73.8,59.73,720,27
2018-01-01 13:30:00,79.78,52.46,722,28
2018-01-01 14:00:00,78.2,79.23,741,29
2018-01-01 14:30:00,75.95,75.03,763,30
2018-01-01 15:00:00,69.45,75.61,801,31
2018-01-01 15:30:00,74.38,81.6,857,32
2018-01-01 16:00:00,78.27,92.24,930,33
2018-01-01 16:30:00,71.08,136.76,1027,34
2018-01-01 17:00:00,73.26,128.57,1106,35
2018-01-01 17:30:00,69.3,127.68,1182,36
2018-01-01 18:00:00,67.88,140.39,1252,37
2018-01-01 18:30:00,65.79,149.89,1302,38
2018-01-01 19:00:00,70.03,135.29,1326,39
2018-01-01 19:30:00,68.34,121.73,1338,40
2018-01-01 20:00:00,77.99,89.18,1336,41
2018-01-01 20:30:00,83.21,76.38,1338,42
2018-01-01 21:00:00,76.64,68.82,1347,43
2018-01-01 21:30:00,78.28,62.77,1330,44
2018-01-01 22:00:00,72.1,41.28,1304,45
2018-01-01 22:30:00,69.18,61.41,1269,46
2018-01-01 23:00:00,63.64,81.5,1254,47
2018-01-01 23:30:00,64.48,82.48,1237,48
2018-01-02 00:00:00,63.47,78.28,1410,1
2018-01-02 00:30:00,61.99,80.59,1354,2
2018-01-02 01:00:00,60.85,69.0,1296,3
2018-01-02 01:30:00,54.84,69.1,1235,4
2018-01-02 02:00:00,58.33,53.29,1184,5
2018-01-02 02:30:00,59.41,52.71,1162,6
2018-01-02 03:00:00,61.52,44.29,1151,7
2018-01-02 03:30:00,60.31,66.26,1131,8
2018-01-02 04:00:00,61.59,59.18,1128,9
2018-01-02 04:30:00,56.89,67.62,1122,10
2018-01-02 05:00:00,73.86,72.57,1139,11
2018-01-02 05:30:00,74.75,107.46,1165,12
2018-01-02 06:00:00,76.61,93.84,1185,13
2018-01-02 06:30:00,74.65,93.43,1186,14
2018-01-02 07:00:00,84.64,103.99,1210,15
2018-01-02 07:30:00,81.62,58.87,1226,16
2018-01-02 08:00:00,80.3,71.97,1212,17
2018-01-02 08:30:00,82.1,82.91,1208,18
2018-01-02 09:00:00,86.01,102.76,1223,19
2018-01-02 09:30:00,81.08,70.68,1203,20
2018-01-02 10:00:00,71.8,74.25,1149,21
2018-01-02 10:30:00,71.67,80.05,1091,22
2018-01-02 11:00:00,73.59,91.99,1055,23
2018-01-02 11:30:00,74.69,98.79,1053,24
2018-01-02 12:00:00,77.3,69.91,1005,25
2018-01-02 12:30:00,76.14,86.57,993,26
2018-01-02 13:00:00,73.68,90.79,1006,27
2018-01-02 13:30:00,76.93,77.83,978,28
2018-01-02 14:00:00,66.33,93.53,961,29
2018-01-02 14:30:00,69.8,98.89,972,30
2018-01-02 15:00:00,62.95,122.71,991,31
2018-01-02 15:30:00,70.42,115.11,1017,32
2018-01-02 16:00:00,66.62,127.36,1078,33
2018-01-02 16:30:00,67.9,143.89,1179,34
2018-01-02 17:00:00,64.81,132.69,1209,35
2018-01-02 17:30:00,60.95,131.01,1268,36
2018-01-02 18:00:00,62.57,138.36,1321,37
2018-01-02 18:30:00,69.39,107.83,1374,38
2018-01-02 19:00:00,72.9,123.74,1411,39
2018-01-02 19:30:00,65.68,150.56,1427,40
2018-01-02 20:00:00,74.68,167.55,1433,41
2018-01-02 20:30:00,77.18,174.73,1441,42
2018-01-02 21:00:00,68.47,180.04,1457,43
2018-01-02 21:30:00,65.3,178.01,1421,44
2018-01-02 22:00:00,60.84,138.45,1377,45
2018-01-02 22:30:00,63.64,122.72,1336,46
2018-01-02 23:00:00,62.58,121.15,1312,47
2018-01-02 23:30:00,64.52,104.67,1295,48
2018-01-03 00:00:00,69.22,96.04,1459,1
2018-01-03 00:30:00,61.22,93.74,1412,2
2018-01-03 01:00:00,57.62,78.96,1357,3
2018-01-03 01:30:00,48.87,80.9,1277,4
2018-01-03 02:00:00,49.07,96.14,1236,5
2018-01-03 02:30:00,52.28,85.33,1214,6
2018-01-03 03:00:00,52.59,63.4,1203,7
2018-01-03 03:30:00,54.81,66.81,1182,8
2018-01-03 04:00:00,57.12,56.18,1160,9
2018-01-03 04:30:00,59.87,53.23,1145,10
2018-01-03 05:00:00,59.5,64.95,1148,11
2018-01-03 05:30:00,66.58,46.96,1160,12
2018-01-03 06:00:00,66.95,41.09,1201,13
2018-01-03 06:30:00,70.51,36.53,1219,14
2018-01-03 07:00:00,74.46,35.01,1244,15
2018-01-03 07:30:00,77.2,26.81,1253,16
2018-01-03 08:00:00,75.02,30.49,1227,17
2018-01-03 08:30:00,76.55,24.58,1220,18
2018-01-03 09:00:00,78.55,16.57,1188,19
2018-01-03 09:30:00,80.6,13.56,1154,20
2018-01-03 10:00:00,80.67,12.95,1130,21
2018-01-03 10:30:00,78.74,12.78,1079,22
2018-01-03 11:00:00,82.44,15.69,1024,23
2018-01-03 11:30:00,79.88,14.32,994,24
2018-01-03 12:00:00,82.02,20.66,991,25
2018-01-03 12:30:00,77.77,29.28,974,26
2018-01-03 13:00:00,77.27,35.73,984,27
2018-01-03 13:30:00,76.91,37.91,986,28
2018-01-03 14:00:00,81.07,41.6,996,29
