time,spot_price,inter_gen,demand,period
2021-01-01 00:00:00,46.38,105.96,1064,1
2021-01-01 00:30:00,57.3,118.83,1047,2
2021-01-01 01:00:00,64.75,121.41,1038,3
2021-01-01 01:30:00,65.12,105.22,1033,4
2021-01-01 02:00:00,66.63,100.05,1027,5
2021-01-01 02:30:00,66.79,92.79,1022,6
2021-01-01 03:00:00,65.44,83.24,1021,7
2021-01-01 03:30:00,75.11,69.62,1016,8
2021-01-01 04:00:00,69.73,73.09,1018,9
2021-01-01 04:30:00,59.73,85.1,1028,10
2021-01-01 05:00:00,61.14,88.59,1027,11
2021-01-01 05:30:00,50.1,99.71,1032,12
2021-01-01 06:00:00,52.48,107.19,1037,13
2021-01-01 06:30:00,56.87,107.96,1037,14
2021-01-01 07:00:00,50.09,119.29,1043,15
2021-01-01 07:30:00,34.36,142.97,1060,16
2021-01-01 08:00:00,34.36,145.31,1082,17
2021-01-01 08:30:00,34.36,145.36,1093,18
2021-01-01 09:00:00,34.36,147.09,1096,19
2021-01-01 09:30:00,34.34,144.13,1099,20
2021-01-01 10:00:00,34.34,143.31,1109,21
2021-01-01 10:30:00,34.34,143.91,1110,22
2021-01-01 11:00:00,34.34,143.07,1110,23
2021-01-01 11:30:00,34.34,143.42,1080,24
2021-01-01 12:00:00,34.34,142.34,1067,25
2021-01-01 12:30:00,32.89,142.57,1052,26
2021-01-01 13:00:00,39.6,142.93,1075,27
2021-01-01 13:30:00,35.24,147.07,1072,28
2021-01-01 14:00:00,35.51,150.6,1064,29
2021-01-01 14:30:00,40.16,149.93,1062,30
2021-01-01 15:00:00,34.36,151.13,1011,31
2021-01-01 15:30:00,33.46,153.29,1000,32
2021-01-01 16:00:00,32.61,157.12,1007,33
2021-01-01 16:30:00,27.16,158.13,1037,34
2021-01-01 17:00:00,32.1,158.4,1066,35
2021-01-01 17:30:00,32.11,159.85,1082,36
2021-01-01 18:00:00,33.12,157.76,1094,37
2021-01-01 18:30:00,33.28,155.22,1095,38
2021-01-01 19:00:00,34.09,152.8,1095,39
2021-01-01 19:30:00,31.29,150.84,1097,40
2021-01-01 20:00:00,31.75,154.36,1098,41
2021-01-01 20:30:00,29.7,155.08,1106,42
2021-01-01 21:00:00,30.76,158.06,1094,43
2021-01-01 21:30:00,34.78,158.73,1075,44
2021-01-01 22:00:00,34.59,156.72,1054,45
2021-01-01 22:30:00,34.74,155.33,1034,46
2021-01-01 23:00:00,34.49,155.19,1013,47
2021-01-01 23:30:00,35.38,153.71,999,48
2021-01-02 00:00:00,36.08,153.12,985,1
2021-01-02 00:30:00,34.04,154.18,979,2
2021-01-02 01:00:00,33.74,153.72,969,3
2021-01-02 01:30:00,28.01,153.49,962,4
2021-01-02 02:00:00,15.79,147.41,964,5
2021-01-02 02:30:00,32.49,146.88,963,6
2021-01-02 03:00:00,34.34,147.17,960,7
2021-01-02 03:30:00,34.34,147.46,956,8
2021-01-02 04:00:00,34.34,146.06,965,9
2021-01-02 04:30:00,37.59,145.99,969,10
2021-01-02 05:00:00,37.04,144.87,970,11
2021-01-02 05:30:00,37.48,148.02,976,12
2021-01-02 06:00:00,37.78,151.67,986,13
2021-01-02 06:30:00,36.49,152.57,997,14
2021-01-02 07:00:00,30.76,152.94,994,15
2021-01-02 07:30:00,34.21,148.76,1016,16
2021-01-02 08:00:00,35.29,148.36,1030,17
2021-01-02 08:30:00,31.74,148.73,1040,18
2021-01-02 09:00:00,37.31,152.68,1050,19
2021-01-02 09:30:00,37.78,150.48,1051,20
2021-01-02 10:00:00,37.78,150.19,1049,21
2021-01-02 10:30:00,37.78,150.67,1046,22
2021-01-02 11:00:00,37.78,150.2,1036,23
2021-01-02 11:30:00,37.8,150.72,1032,24
2021-01-02 12:00:00,37.8,149.77,1029,25
2021-01-02 12:30:00,37.8,149.97,1032,26
2021-01-02 13:00:00,37.8,150.77,1028,27
2021-01-02 13:30:00,37.8,151.08,1027,28
2021-01-02 14:00:00,37.8,148.87,1015,29
2021-01-02 14:30:00,37.8,135.25,1024,30
2021-01-02 15:00:00,37.8,127.11,1027,31
2021-01-02 15:30:00,37.8,119.08,1032,32
2021-01-02 16:00:00,37.79,103.8,1046,33
2021-01-02 16:30:00,37.8,78.43,1078,34
2021-01-02 17:00:00,38.06,67.73,1100,35
2021-01-02 17:30:00,40.88,67.25,1120,36
2021-01-02 18:00:00,47.68,53.54,1125,37
2021-01-02 18:30:00,46.33,45.55,1102,38
2021-01-02 19:00:00,40.09,41.43,1097,39
2021-01-02 19:30:00,37.8,39.05,1095,40
2021-01-02 20:00:00,37.8,44.55,1096,41
2021-01-02 20:30:00,37.8,48.82,1101,42
2021-01-02 21:00:00,37.78,57.03,1103,43
2021-01-02 21:30:00,37.78,60.68,1093,44
2021-01-02 22:00:00,37.78,59.11,1078,45
2021-01-02 22:30:00,33.75,55.51,1065,46
2021-01-02 23:00:00,37.78,51.57,1050,47
2021-01-02 23:30:00,37.78,54.29,1032,48
2021-01-03 00:00:00,37.79,53.39,1017,1
2021-01-03 00:30:00,37.78,52.03,1010,2
2021-01-03 01:00:00,37.79,54.77,1004,3
2021-01-03 01:30:00,37.79,52.91,996,4
2021-01-03 02:00:00,37.79,49.42,993,5
2021-01-03 02:30:00,37.79,43.02,992,6
2021-01-03 03:00:00,37.79,41.8,987,7
2021-01-03 03:30:00,37.78,44.55,985,8
2021-01-03 04:00:00,37.78,42.86,988,9
2021-01-03 04:30:00,35.14,43.88,991,10
2021-01-03 05:00:00,34.6,43.61,993,11
2021-01-03 05:30:00,34.65,47.83,1000,12
2021-01-03 06:00:00,33.36,49.62,1009,13
2021-01-03 06:30:00,29.02,50.17,1023,14
2021-01-03 07:00:00,37.55,46.68,1029,15
2021-01-03 07:30:00,40.87,45.72,1047,16
2021-01-03 08:00:00,56.63,45.51,1067,17
2021-01-03 08:30:00,39.79,51.87,1078,18
2021-01-03 09:00:00,38.67,61.0,1084,19
2021-01-03 09:30:00,38.67,60.28,1095,20
2021-01-03 10:00:00,38.67,57.78,1098,21
2021-01-03 10:30:00,54.39,41.73,1095,22
2021-01-03 11:00:00,38.67,36.69,1082,23
2021-01-03 11:30:00,38.67,39.15,1078,24
2021-01-03 12:00:00,38.67,46.78,1069,25
2021-01-03 12:30:00,38.65,76.14,976,26
2021-01-03 13:00:00,64.4,48.37,1034,27
2021-01-03 13:30:00,38.67,63.93,1062,28
2021-01-03 14:00:00,38.67,59.75,1055,29
2021-01-03 14:30:00,38.67,56.88,1070,30
2021-01-03 15:00:00,38.67,44.34,1077,31
2021-01-03 15:30:00,38.67,28.84,1095,32
2021-01-03 16:00:00,42.08,26.71,1128,33
2021-01-03 16:30:00,88.13,22.22,1148,34
2021-01-03 17:00:00,87.3,20.2,1190,35
2021-01-03 17:30:00,38.67,25.77,1197,36
2021-01-03 18:00:00,38.77,33.9,1192,37
2021-01-03 18:30:00,38.67,42.71,1183,38
2021-01-03 19:00:00,38.67,44.74,1180,39
2021-01-03 19:30:00,38.69,48.92,1180,40
2021-01-03 20:00:00,38.67,47.26,1173,41
2021-01-03 20:30:00,38.72,52.74,1183,42
2021-01-03 21:00:00,38.67,46.69,1161,43
2021-01-03 21:30:00,38.67,37.94,1146,44
2021-01-03 22:00:00,38.67,32.84,1122,45
2021-01-03 22:30:00,40.06,32.75,1093,46
2021-01-03 23:00:00,38.67,29.04,1073,47
2021-01-03 23:30:00,39.7,30.59,1040,48
2021-01-04 00:00:00,38.72,35.4,953,1
2021-01-04 00:30:00,38.67,38.66,1031,2
2021-01-04 01:00:00,38.67,38.07,1027,3
2021-01-04 01:30:00,38.67,32.6,1020,4
2021-01-04 02:00:00,38.67,28.5,1020,5
2021-01-04 02:30:00,38.66,40.46,1018,6
2021-01-04 03:00:00,38.66,44.29,1013,7
2021-01-04 03:30:00,38.67,46.72,1022,8
2021-01-04 04:00:00,38.67,53.17,1019,9
2021-01-04 04:30:00,38.65,55.37,1045,10
2021-01-04 05:00:00,38.81,49.08,1065,11
2021-01-04 05:30:00,39.11,45.14,1089,12
2021-01-04 06:00:00,38.65,47.51,1109,13
2021-01-04 06:30:00,39.85,55.13,1135,14
2021-01-04 07:00:00,38.65,67.16,1158,15
2021-01-04 07:30:00,38.65,74.53,1171,16
2021-01-04 08:00:00,38.65,80.56,1172,17
2021-01-04 08:30:00,38.65,95.89,1170,18
2021-01-04 09:00:00,38.65,103.26,1159,19
2021-01-04 09:30:00,38.65,88.69,1144,20
2021-01-04 10:00:00,38.64,86.35,1109,21
2021-01-04 10:30:00,38.65,96.8,1126,22
2021-01-04 11:00:00,38.63,97.57,1107,23
2021-01-04 11:30:00,38.63,102.19,1075,24
2021-01-04 12:00:00,38.59,112.18,1065,25
2021-01-04 12:30:00,174.63,91.03,1054,26
2021-01-04 13:00:00,25.66,95.13,1057,27
2021-01-04 13:30:00,38.21,123.6,1066,28
2021-01-04 14:00:00,38.3,120.02,1066,29
2021-01-04 14:30:00,38.63,123.94,1074,30
2021-01-04 15:00:00,38.51,121.64,1078,31
2021-01-04 15:30:00,38.63,109.81,1086,32
2021-01-04 16:00:00,38.54,92.76,1096,33
2021-01-04 16:30:00,38.65,80.89,1125,34
2021-01-04 17:00:00,38.64,83.54,1134,35
2021-01-04 17:30:00,38.63,100.78,1130,36
2021-01-04 18:00:00,32.56,96.2,1154,37
2021-01-04 18:30:00,38.63,89.82,1159,38
2021-01-04 19:00:00,38.64,79.11,1154,39
2021-01-04 19:30:00,38.63,57.67,1148,40
2021-01-04 20:00:00,38.65,60.48,1143,41
2021-01-04 20:30:00,38.64,60.09,1147,42
2021-01-04 21:00:00,38.64,57.67,1119,43
2021-01-04 21:30:00,38.65,50.96,1093,44
2021-01-04 22:00:00,38.65,42.25,1051,45
2021-01-04 22:30:00,38.65,44.77,1031,46
2021-01-04 23:00:00,38.65,43.17,1011,47
2021-01-04 23:30:00,121.35,37.88,1033,48
2021-01-05 00:00:00,55.26,35.84,1022,1
2021-01-05 00:30:00,88.39,35.55,1011,2
2021-01-05 01:00:00,71.88,33.92,1001,3
2021-01-05 01:30:00,38.65,33.95,985,4
2021-01-05 02:00:00,38.65,32.03,974,5
2021-01-05 02:30:00,38.65,33.39,970,6
2021-01-05 03:00:00,38.65,33.1,976,7
2021-01-05 03:30:00,38.65,29.95,975,8
2021-01-05 04:00:00,38.65,29.29,984,9
2021-01-05 04:30:00,40.12,30.27,994,10
2021-01-05 05:00:00,48.53,32.12,1012,11
2021-01-05 05:30:00,13.7,35.11,1042,12
2021-01-05 06:00:00,20.85,36.97,1070,13
