time,spot_price,inter_gen,demand,period
2018-01-01 00:00:00,90.55,121.68,1091,1
2018-01-01 00:30:00,92.28,118.73,1082,2
2018-01-01 01:00:00,87.53,110.48,1071,3
2018-01-01 01:30:00,76.29,120.09,1067,4
2018-01-01 02:00:00,75.1,114.64,1061,5
2018-01-01 02:30:00,72.92,112.9,1060,6
2018-01-01 03:00:00,71.59,111.15,1058,7
2018-01-01 03:30:00,74.01,88.45,1044,8
2018-01-01 04:00:00,76.05,55.27,1037,9
2018-01-01 04:30:00,69.68,84.49,1042,10
2018-01-01 05:00:00,70.62,99.96,1058,11
2018-01-01 05:30:00,68.78,100.09,1059,12
2018-01-01 06:00:00,68.98,78.69,1062,13
2018-01-01 06:30:00,72.47,68.4,1070,14
2018-01-01 07:00:00,75.7,72.7,1074,15
2018-01-01 07:30:00,76.05,62.4,1081,16
2018-01-01 08:00:00,76.02,86.92,1098,17
2018-01-01 08:30:00,76.05,87.51,1111,18
2018-01-01 09:00:00,76.05,116.8,1120,19
2018-01-01 09:30:00,76.05,109.13,1132,20
2018-01-01 10:00:00,76.28,80.13,1130,21
2018-01-01 10:30:00,76.72,97.66,1131,22
2018-01-01 11:00:00,79.56,87.45,1128,23
2018-01-01 11:30:00,77.74,68.45,1110,24
2018-01-01 12:00:00,74.57,61.17,1107,25
2018-01-01 12:30:00,76.18,58.65,1091,26
2018-01-01 13:00:00,76.05,48.5,1071,27
2018-01-01 13:30:00,80.52,44.96,1071,28
2018-01-01 14:00:00,80.81,45.52,1068,29
2018-01-01 14:30:00,80.78,51.81,1064,30
2018-01-01 15:00:00,77.31,54.11,1063,31
2018-01-01 15:30:00,82.45,25.9,1078,32
2018-01-01 16:00:00,88.75,32.74,1105,33
2018-01-01 16:30:00,85.34,39.24,1130,34
2018-01-01 17:00:00,85.95,57.23,1156,35
2018-01-01 17:30:00,79.65,72.48,1158,36
2018-01-01 18:00:00,78.77,52.84,1160,37
2018-01-01 18:30:00,76.17,57.08,1159,38
2018-01-01 19:00:00,78.37,60.29,1165,39
2018-01-01 19:30:00,76.37,55.57,1164,40
2018-01-01 20:00:00,79.68,46.39,1167,41
2018-01-01 20:30:00,84.06,42.53,1173,42
2018-01-01 21:00:00,78.35,45.32,1167,43
2018-01-01 21:30:00,78.25,46.57,1143,44
2018-01-01 22:00:00,76.05,42.43,1115,45
2018-01-01 22:30:00,76.05,41.75,1089,46
2018-01-01 23:00:00,76.05,39.34,1086,47
2018-01-01 23:30:00,76.05,34.81,1073,48
2018-01-02 00:00:00,76.05,31.79,1042,1
2018-01-02 00:30:00,76.05,33.46,1028,2
2018-01-02 01:00:00,76.05,28.73,1019,3
2018-01-02 01:30:00,76.05,32.86,1009,4
2018-01-02 02:00:00,76.05,33.44,1010,5
2018-01-02 02:30:00,76.05,34.52,1012,6
2018-01-02 03:00:00,76.05,39.26,1008,7
2018-01-02 03:30:00,76.05,36.18,1011,8
2018-01-02 04:00:00,76.05,38.13,1005,9
2018-01-02 04:30:00,75.8,32.48,1021,10
2018-01-02 05:00:00,75.8,35.71,1029,11
2018-01-02 05:30:00,75.8,37.04,1046,12
2018-01-02 06:00:00,76.11,43.03,1072,13
2018-01-02 06:30:00,76.63,59.17,1107,14
2018-01-02 07:00:00,82.75,69.1,1131,15
2018-01-02 07:30:00,80.3,41.49,1146,16
2018-01-02 08:00:00,81.8,38.25,1160,17
2018-01-02 08:30:00,82.5,53.44,1166,18
2018-01-02 09:00:00,86.87,64.88,1152,19
2018-01-02 09:30:00,83.02,65.85,1133,20
2018-01-02 10:00:00,75.97,57.89,1060,21
2018-01-02 10:30:00,78.5,50.39,1125,22
2018-01-02 11:00:00,79.28,82.58,1109,23
2018-01-02 11:30:00,80.09,78.23,1099,24
2018-01-02 12:00:00,79.56,94.83,1094,25
2018-01-02 12:30:00,78.13,101.8,1077,26
2018-01-02 13:00:00,77.32,83.81,1073,27
2018-01-02 13:30:00,77.6,82.47,1068,28
2018-01-02 14:00:00,74.78,91.0,1064,29
2018-01-02 14:30:00,75.06,114.63,1071,30
2018-01-02 15:00:00,71.85,122.91,1078,31
2018-01-02 15:30:00,76.7,121.45,1091,32
2018-01-02 16:00:00,75.72,137.2,1110,33
2018-01-02 16:30:00,77.08,125.44,1136,34
2018-01-02 17:00:00,75.34,123.63,1153,35
2018-01-02 17:30:00,72.13,130.98,1164,36
2018-01-02 18:00:00,73.79,134.26,1168,37
2018-01-02 18:30:00,77.72,129.9,1168,38
2018-01-02 19:00:00,80.02,134.2,1165,39
2018-01-02 19:30:00,71.89,137.08,1159,40
2018-01-02 20:00:00,80.58,131.47,1165,41
2018-01-02 20:30:00,82.21,112.15,1185,42
2018-01-02 21:00:00,74.2,89.85,1182,43
2018-01-02 21:30:00,74.53,116.02,1185,44
2018-01-02 22:00:00,75.8,76.91,1163,45
2018-01-02 22:30:00,74.35,85.33,1140,46
2018-01-02 23:00:00,68.26,100.82,1116,47
2018-01-02 23:30:00,71.17,98.14,1098,48
2018-01-03 00:00:00,71.37,99.1,1088,1
2018-01-03 00:30:00,75.8,88.42,1082,2
2018-01-03 01:00:00,75.8,75.01,1074,3
2018-01-03 01:30:00,75.8,59.6,1073,4
2018-01-03 02:00:00,75.8,58.89,1068,5
2018-01-03 02:30:00,75.8,72.16,1068,6
2018-01-03 03:00:00,75.8,73.79,1068,7
2018-01-03 03:30:00,75.8,67.41,1071,8
2018-01-03 04:00:00,75.8,66.94,1074,9
2018-01-03 04:30:00,72.52,53.75,1082,10
2018-01-03 05:00:00,77.23,48.26,1092,11
2018-01-03 05:30:00,88.71,44.15,1120,12
2018-01-03 06:00:00,82.67,36.15,1147,13
2018-01-03 06:30:00,80.57,35.46,1173,14
2018-01-03 07:00:00,74.31,34.54,1190,15
2018-01-03 07:30:00,76.93,28.96,1193,16
2018-01-03 08:00:00,76.75,26.51,1190,17
2018-01-03 08:30:00,78.08,24.99,1190,18
2018-01-03 09:00:00,83.15,23.85,1178,19
2018-01-03 09:30:00,78.57,28.16,1164,20
2018-01-03 10:00:00,78.06,36.27,1163,21
2018-01-03 10:30:00,76.22,44.95,1153,22
