time,spot_price,inter_gen,demand,period
2021-01-01 00:00:00,43.48,207.49,4555,1
2021-01-01 00:30:00,37.21,208.82,4396,2
2021-01-01 01:00:00,36.37,192.02,4252,3
2021-01-01 01:30:00,25.02,172.57,4137,4
2021-01-01 02:00:00,14.6,167.15,3976,5
2021-01-01 02:30:00,8.95,174.75,3850,6
2021-01-01 03:00:00,8.69,170.44,3796,7
2021-01-01 03:30:00,8.95,147.53,3732,8
2021-01-01 04:00:00,8.97,141.76,3720,9
2021-01-01 04:30:00,8.95,137.42,3738,10
2021-01-01 05:00:00,8.95,138.02,3743,11
2021-01-01 05:30:00,8.95,150.53,3736,12
2021-01-01 06:00:00,10.19,155.48,3747,13
2021-01-01 06:30:00,8.75,154.05,3757,14
2021-01-01 07:00:00,4.97,140.06,3728,15
2021-01-01 07:30:00,8.25,160.91,3625,16
2021-01-01 08:00:00,0.0,173.15,3588,17
2021-01-01 08:30:00,0.0,166.73,3557,18
2021-01-01 09:00:00,10.59,148.27,3558,19
2021-01-01 09:30:00,5.53,158.43,3581,20
2021-01-01 10:00:00,11.84,169.88,3551,21
2021-01-01 10:30:00,1.4,158.37,3533,22
2021-01-01 11:00:00,0.0,158.81,3477,23
2021-01-01 11:30:00,-7.21,132.39,3467,24
2021-01-01 12:00:00,-8.26,151.23,3504,25
2021-01-01 12:30:00,6.0,166.89,3575,26
2021-01-01 13:00:00,3.83,185.36,3659,27
2021-01-01 13:30:00,12.32,179.59,3830,28
2021-01-01 14:00:00,24.91,173.4,4007,29
2021-01-01 14:30:00,27.39,186.93,4043,30
2021-01-01 15:00:00,28.34,186.83,4238,31
2021-01-01 15:30:00,28.73,181.58,4397,32
2021-01-01 16:00:00,30.71,178.99,4536,33
2021-01-01 16:30:00,25.21,194.22,4744,34
2021-01-01 17:00:00,30.68,212.79,5045,35
2021-01-01 17:30:00,30.46,208.79,5211,36
2021-01-01 18:00:00,31.69,184.52,5179,37
2021-01-01 18:30:00,32.26,160.44,5114,38
2021-01-01 19:00:00,33.79,186.26,5030,39
2021-01-01 19:30:00,30.66,137.84,4968,40
2021-01-01 20:00:00,31.61,109.5,4914,41
2021-01-01 20:30:00,28.96,101.97,4898,42
2021-01-01 21:00:00,30.05,77.57,4788,43
2021-01-01 21:30:00,34.14,68.65,4671,44
2021-01-01 22:00:00,33.86,63.87,4534,45
2021-01-01 22:30:00,34.16,96.49,4437,46
2021-01-01 23:00:00,33.74,123.36,4371,47
